day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,mid,BB_upper,BB_lower,BB_mid,micro_price,total_volume,cum_vwap,EMA_12,EMA_26,bid_vol_total,ask_vol_total,vol_imbalance,mid_return
-2,0,EMERALDS,9992,11,9990,25,,,10008,11,10010,25,,,10000.0,0.0,16,10000.0,,,10000.0,10000.0,22,10000.0,10000.0,10000.0,36.0,36.0,0.0,
-2,100,EMERALDS,9992,15,9990,20,,,10008,15,10010,20,,,10000.0,0.0,16,10000.0,10000.0,10000.0,10000.0,10000.0,30,10000.0,10000.0,10000.0,35.0,35.0,0.0,0.0
-2,200,EMERALDS,9992,15,9990,30,,,10008,15,10010,30,,,10000.0,0.0,16,10000.0,10000.0,10000.0,10000.0,10000.0,30,10000.0,10000.0,10000.0,45.0,45.0,0.0,0.0
-2,300,EMERALDS,9992,13,9990,26,,,10008,13,10010,26,,,10000.0,0.0,16,10000.0,10000.0,10000.0,10000.0,10000.0,26,10000.0,10000.0,10000.0,39.0,39.0,0.0,0.0
-2,400,EMERALDS,9992,15,9990,20,,,10008,15,10010,20,,,10000.0,0.0,16,10000.0,10000.0,10000.0,10000.0,10000.0,30,10000.0,10000.0,10000.0,35.0,35.0,0.0,0.0
-2,500,EMERALDS,9992,13,9990,30,,,10008,13,10010,30,,,10000.0,0.0,16,10000.0,10000.0,10000.0,10000.0,10000.0,26,10000.0,10000.0,10000.0,43.0,43.0,0.0,0.0
-2,600,EMERALDS,9992,12,9990,30,,,10008,12,10010,30,,,10000.0,0.0,16,10000.0,10000.0,10000.0,10000.0,10000.0,24,10000.0,10000.0,10000.0,42.0,42.0,0.0,0.0
-2,700,EMERALDS,9992,11,9990,27,,,10000,6,10008,11,10010.0,27.0,9996.0,0.0,8,9996.0,10002.328427124747,9996.671572875253,9999.5,9997.176470588236,17,9999.668292682927,9999.384615384615,9999.703703703704,38.0,44.0,-0.07317073170731707,-0.00039999999999995595
-2,800,EMERALDS,9992,15,9990,21,,,10008,15,10010,21,,,10000.0,0.0,16,10000.0,10002.22222222222,9996.888888888889,9999.555555555555,10000.0,30,9999.710638297873,9999.479289940828,9999.725651577504,36.0,36.0,0.0,0.0004001600640255454
-2,900,EMERALDS,9992,13,9990,30,,,10008,13,10010,30,,,10000.0,0.0,16,10000.0,10002.129822128136,9997.070177871865,9999.6,10000.0,26,9999.739463601532,9999.5593991807,9999.745973682875,43.0,43.0,0.0,0.0
-2,1000,EMERALDS,9992,15,9990,22,,,10008,15,10010,22,,,10000.0,0.0,16,10000.0,10002.048454392987,9997.224272879741,9999.636363636364,10000.0,30,9999.766323024054,9999.62718392213,9999.764790447107,37.0,37.0,0.0,0.0
-2,1100,EMERALDS,9992,10,9990,25,,,10008,10,10010,25,,,10000.0,0.0,16,10000.0,10001.976067743424,9997.357265589908,9999.666666666666,10000.0,20,9999.781350482315,9999.684540241802,9999.782213376951,35.0,35.0,0.0,0.0
-2,1200,EMERALDS,9992,10,9990,27,,,10008,10,10010,27,,,10000.0,0.0,16,10000.0,10001.91110847721,9997.473506907407,9999.692307692309,10000.0,20,9999.794561933535,9999.733072512294,9999.798345719399,37.0,37.0,0.0,0.0
-2,1300,EMERALDS,9992,10,9990,23,,,10008,10,10010,23,,,10000.0,0.0,16,10000.0,10001.852375649585,9997.576195778987,9999.714285714286,10000.0,20,9999.806267806267,9999.774138279634,9999.813283073518,33.0,33.0,0.0,0.0
-2,1400,EMERALDS,9992,13,9990,26,,,10008,13,10010,26,,,10000.0,0.0,16,10000.0,10001.798924451312,9997.667742215355,9999.733333333334,10000.0,26,9999.819628647216,9999.808886236613,9999.82711395696,39.0,39.0,0.0,0.0
